"","x_NMI","Building","number_of_people","pool","type_of_AC","No_of_AC","Ave.Daily.Usage"
"100",90005,"Single Story",3,"No","EVAP",1,12.5337911111111
"101",90002,"Single Story",5,"No","RCAC",1,17.2895796703297
"102",90139,"Apartment",3,"No","EVAP AND RCAC",2,6.9925
"103",14661,"Single Story",1,"No","EVAP AND RCAC",1,6.84012857142857
"104",12444,"Single Story",2,"No","RCAC",2,10.2678421052632
"105",90106,"Apartment",1,"No","RCAC",1,58.7187849829351
"106",21663,"Single Story",2,"No","RCAC",3,13.4334904109589
"107",90083,"Single Story",4,"No","RCAC",2,9.99837254901961
"108",90056,"Single Story",3,"No","RCAC",3,10.214
"109",90152,"Apartment",1,"No","RCAC",2,3.62515426997245
"110",90150,"Apartment",2,"No","RCAC",1,7.77391436464089
"111",90006,"Apartment",3,"No","EVAP",1,5.99741917808219
"112",90159,"Apartment",2,"No","RCAC",1,7.78003305785123
"113",90039,"Single Story",1,"No","RCAC",1,17.433304109589
"114",83660,"Apartment",3,"No","EVAP",1,6.04120385674931
"115",90135,"Apartment",2,"No","RCAC",1,4.74485585585585
"116",90171,"Double story",3,"Yes","RCAC",5,17.2965096418733
"117",90146,"Apartment",3,"No","EVAP",1,15.4523608815427
"118",90151,"Apartment",2,"No","RCAC",3,3.43917032967033
"119",90060,"Double story",4,"No","RCAC",1,7.46055890410959
"120",90058,"Double story",4,"No","EVAP AND RCAC",2,9.88595890410959
"121",90167,"Apartment",2,"No","RCAC",3,8.87909090909092
"122",90027,"Double story",2,"Yes","EVAP",2,18.2958
"123",90137,"Double story",4,"No","EVAP",1,10.8549366391185
"124",90097,"Double story",4,"Yes","RCAC",1,18.0730273972603
"125",90057,"Double story",4,"Yes","RCAC",1,17.8436301369863
"126",90038,"Double story",1,"No","RCAC",1,10.419985915493
"127",90044,"Single Story",3,"No","EVAP",1,6.97792054794521
"128",90061,"Double story",6,"No","RCAC",2,19.7586082191781
"129",90127,"Single Story",5,"No","RCAC",1,38.4658622589532
"130",90170,"Apartment",1,"No","RCAC",1,7.08322865013774
"131",90026,"Double story",5,"No","EVAP AND RCAC",2,12.5687009803922
"132",90078,"Single Story",1,"No","RCAC",1,11.2047698630137
"133",90004,"Single Story",2,"Yes","EVAP",2,22.7156428571429
"134",90163,"Double story",2,"No","RCAC",2,15.6836776859504
"135",90117,"Single Story",2,"No","EVAP",1,7.16449589041095
"136",90118,"Single Story",1,"No","EVAP",1,6.34413150684931
"137",90077,"Single Story",2,"No","RCAC",2,9.77652602739727
"138",90130,"Single Story",2,"No","EVAP",2,16.9078512396694
"139",90041,"Double story",2,"No","RCAC",3,5.44518082191781
"140",81672,"Double story",3,"No","RCAC",3,10.4639806629834
"141",90080,"Single Story",2,"No","RCAC",1,13.7381808219178
"142",90017,"Single Story",4,"No","RCAC",1,3.53939423076923
"143",90109,"Single Story",3,"No","RCAC",1,9.86377260273973
"144",90032,"Single Story",2,"No","EVAP",1,10.7281863013699
"145",90175,"Single Story",5,"No","EVAP",1,0.524204545454545
"146",90082,"Apartment",1,"No","RCAC",1,14.3394958904109
"147",90000,"Apartment",1,"No","None",0,5.32497534246576
"148",23908,"Double story",2,"No","RCAC",2,17.4046923076923
"149",90081,"Apartment",1,"No","RCAC",1,10.9023917808219
"150",12246,"Single Story",5,"No","EVAP",2,10.9732684931507
"151",7403,"Double story",4,"No","EVAP AND RCAC",2,11.6268821917808
"152",90107,"Single Story",4,"No","RCAC",1,18.6826657534246
"153",23916,"Single Story",5,"No","EVAP",1,6.59169478908189
"154",90123,"Single Story",4,"No","RCAC",2,7.47914520547945
"155",90149,"Apartment",4,"No","EVAP",1,14.3343590909091
"156",90021,"Apartment",3,"No","RCAC",2,7.66221505376344
"157",90015,"Single Story",4,"No","EVAP",1,18.4731150684931
"158",90075,"Single Story",2,"No","EVAP AND RCAC",2,10.892498630137
"159",90091,"Double story",4,"Yes","RCAC",3,31.647125
"160",90049,"Double story",3,"No","RCAC",1,22.3255260273973
"161",90012,"Single Story",4,"No","RCAC",1,25.8211764705882
"162",90099,"Single Story",4,"No","None",0,10.2222164948454
"163",90173,"Double story",4,"Yes","RCAC",1,3.28449056603774
"164",90040,"Double story",4,"No","EVAP",2,12.0889342465754
"165",90035,"Double story",3,"No","EVAP",1,8.80760821917808
"166",90166,"Single Story",3,"No","RCAC",3,10.7822369146006
"167",90050,"Single Story",2,"No","RCAC",1,7.859546875
"168",90007,"Single Story",2,"No","EVAP",1,10.4547859922179
"169",23859,"Double story",2,"No","RCAC",4,5.77398356164383
"170",90011,"Single Story",3,"Yes","EVAP AND RCAC",3,31.9568730964467
"171",90121,"Single Story",4,"No","RCAC",3,33.0093424657534
"172",90103,"Single Story",1,"No","RCAC",2,4.77147422680412
"173",6347,"Single Story",5,"Yes","EVAP",1,21.3801835616438
"174",90119,"Double story",2,"Yes","RCAC",3,6.98616438356164
"175",90055,"Double story",5,"Yes","RCAC",1,20.3271890410959
"176",90122,"Single Story",3,"No","RCAC",2,6.73681643835617
"177",90145,"Apartment",2,"No","RCAC",1,8.79203581267217
